SERVICIOS,REQUISITOS DE LOS SERVICIOS ejemplo(cedula-datos..etc)
Impresion a Color,Enviar Documentos a imprimir
Impresion Blanco y Negro,Enviar Documentos a imprimir
Copias a Color,Enviar Documentos
Copias Blanco y Negro,Enviar Documentos
Grabacion Cd Dvd,Enviar Documentos
Escaneo de documentos,Enviar Documentos
Consejo de la Judicatura Pension Alimenticia SUPA,Código de Tarjeta-Número de Cuotas a pagar
LUZ,numero de contrato o cedula
AGUA,numero de identificacion - numero de servicio
IESS AFILIADO VOLUNTARIO,Identificación
IECE CREDITO ESTUDIANTIL SENECYT,Identificación
SENECYT ORDEN DE PAGO,Identificación
SENECYT PAGO DE CREDITOS,Identificación
IESS EMPLEADOR,Identificación-Sucursal-6 Últimos digitos del comprobante
IESS PRESTAMOS QUIROGRAFARIOS O HIPOTECARIOS,Identificación
COOPMEGO DEPOSITOS,Número de Cuenta-Identificacion-Valor
IESS VARIOS,Identificación-Imagen del Comprobante
BANCO DEL PACIFICO DEPOSITOS,Número de Cuenta-Identificacion-Valor
BANCO DEL PACIFICO RETIROS,Servicio Disponible en nuestros Locales Fisicos
BANCO DEL PACIFICO PAGO DE  TARJETA DE CRÉDITO PACIFICARD,Número de Tarjeta-Identificación-Valor
BANCO BOLIVARIANO DEPOSITOS,Número de Cuenta-Identificacion-Valor
BANCO BOLIVARIANO RETIROS,Servicio Disponible en nuestros Locales Fisicos
BANCO BOLIVARIANO PAGO DE  TARJETA DE CRÉDITO BANKARD,Número de Tarjeta-Identificación-Valor
SECURITY DATA FIRMA ELECTRONICA,numero de identificación - correo electronico  - direccion  - Celular
FACTURERO MOVIL - FACTURACION PREPAGO,numero de identificación - correo electronico  - direccion  - Celular
BANCO INTERNACIONAL DEPOSITOS,Número de Cuenta-Identificacion-Valor
BANCO INTERNACIONAL PAGO DE  TARJETA DE CRÉDITO,Número de Tarjeta-Identificación-Valor
COOPERATIVA JULIAN LORENTE DEPOSITOS,Número de Cuenta-Identificacion-Valor
JARDIN AZUAYO DEPOSITOS,Número de Cuenta-Identificacion-Valor
JARDIN AZUAYO RETIROS,Servicio Disponible en nuestros Locales Fisicos
BANCO DEL AUSTRO DEPOSITOS,Número de Cuenta-Identificacion-Valor
BANCO DEL AUSTRO PAGO DE  TARJETA DE CRÉDITO,Número de Tarjeta-Identificación-Valor
BANCO PICHINCHA DEPOSITOS,Número de Cuenta-Identificacion-Valor
BANCO PICHINCHA RETIROS,Servicio Disponible en nuestros Locales Fisicos
BANCO PICHINCHA PAGO DE  TARJETA DE CRÉDITO,Número de Tarjeta-Identificación-Valor
BANCO PICHINCHA PAGO DE CRÉDITO,Número de Identificación
BANCO PICHINCHA RECAUDACIONES,Institución o código de empresa-Identificación o Contrapartida
BANCO PICHINCHA GIROS,Numero de Referencia - número de identificación-Codigo Dactilar de la Cédula-Fecha de Emsion de la Cédula
BANCO DE GUAYAQUIL DEPOSITOS,Número de Cuenta-Identificacion-Valor
BANCO DE GUAYAQUIL RETIROS,Clave Recibida 1-Clave Recibida 2-Númer Célular
BANCO DE GUAYAQUIL PAGO DE  TARJETA DE CRÉDITO,Número de Tarjeta-Identificación-Valor
BANCO DE GUAYAQUIL PAGO DE CRÉDITO,Número de Identificación 
BANCO DE GUAYAQUIL RECAUDACIONES,Institución o código de empresa-Identificación o Contrapartida
BANCO DE GUAYAQUIL ENVIO DE GIROS BANCO DEL BARRIO,Número de cédula de la persona que envía - Número de celular de la persona que envía - Número de cédula de la persona que recibe - Número de celular de la persona que recibe - Valor a enviar
BANCO DE GUAYAQUIL COBRO DE GIROS BANCO DEL BARRIO,"codigo recibido- numero de identificación-Codigo Dactilar de la cedula, Fecha de Emision de la Cedula"
EQUIFAX BURÓ CREDITICIO, numero de identificación - correo electronico 
Monnet Pagos,Código
Monnet Cobro de Ordenes de Pago,orden de pago - clave
Payjoy, numero de identificación
PAGO SEGURO - PAGO EFECTIVO,Código
PAYVALIDA PAY VALIDA,Código
MEER - EEQ EN LINEA,contrato
PLAN MOVISTAR POSPAGO,numero celular
PLAN  CLARO POSPAGO,numero celular
COBRO DE GIRO WESTERN UNION,codigo MTCN - numero de identificación
ENVIO DE GIRO WESTERN UNION,Pais de destino - numero de identificación - valor a enviar - Nombres Completos del Beneficiario
